id,title,status,stated_by,source,claim,has_non_manual_test,verified_by,note,opinion,decision
R-239,"Client hides only what the server refuses, and vice versa",covered,agent,§19.54 §19.57 §19.77,"A client control is never hidden for something the server permits, and never shown for something the server refuses. Fixes to a permission defect land on the server first; a screen is turned on only when the policies behind it allow the edits it offers.",yes,"sql | supabase/tests/65_offered_in_window_test.sql | cases X1 the defect in one comparison — the same person, part and cell, with the readable place list EMPTY and the server answering TRUE; X2 every part on a supervisor's board names her cell in offered_node_ids while site_node_ids stays empty (so a later fix that widened the read policy instead would move that number rather than pass quietly); X3 the answer is still per node; X4–X6 the SECURITY DEFINER helper discloses nothing the caller could not already read — not a root above their grant, not a sibling department, not the other tenant, which uses the same paths ;; vitest | src/test/scope.test.ts | cases XP1 a part whose places were filtered away is still offered, XP2 an empty places list is not the question any more, XP3 an empty OFFERED list is offered nowhere, XP4 (promoted from DEF-0002's pin) a part made only at another plant is absent, XP5 a part on another line is absent, XP6 the answer is per node ;; vitest | src/test/auditAccess.test.tsx | cases the rail offers what the server permits, tab by tab -- a site admin IS offered Settings, is NOT offered Activity, and a company admin gets both, so no case passes by hiding everything","⛔ CONTRADICTED 6 Sept by DEF-0015 (tester): a viewer granted one cell presses Enter on the track and gets a create form with a four-person picker and an enabled Create, and clicks the chip and gets Person, Save and Delete --- every one refused by the policies (the DELETE came back 200 with zero rows and the board said ""You don't have permission to change that. --- reverted.""). The panel and Copy week ARE hidden; the pop-ups are not decided by can_place at all. Minor: nothing is written and the app says why. ⚠️ FIX-CLAIMED in `01a2612` (session 81). Decided in one place: the board reads `can_place` and hands it to the gesture layer (no create form on Enter or click-drag, no drag) and to the assignment and run pop-ups as read-only (the details and Close). Nine unit cases, the pin green, and a browser case as Viva, the new Plant A viewer, reading it off the screen. ✅ VERIFIED 6 Sept by the tester (session 82), in the browser as Viva, Vito and Vina with every write intercepted: no panel, no Copy week, Enter on a track opens nothing, the chip and the run band open read-only with Close only, a drag and an arrow nudge attempt no request. Ana and Dana lost nothing: the create form, Person/Save/Delete, the run's fields, the drag and the nudge all still fire. The gate is the server's `can_place`, read once; six mutations of it each caught by name. An invariant stated in `shapePicker.ts`, `siteAccess.ts` and verification rule 8c; individual instances are covered by their own entries. ⚠️ FIX CLAIMED, NOT VERIFIED (DEF-0005, fix 808a52d). This row has now been broken in BOTH directions by the same picker, which is why it finally has cases of its own. DEF-0002 was the first half — a control SHOWN for something the server refuses, eight parts of twelve. DEF-0005 was the second — a control HIDDEN for something the server permits, three parts of four, and worse, because a refusal is loud while a missing option is silent. The second was not a regression from the first: it dates to migration 0034 and was invisible to every role that could report it, since an admin's own grant covers everything their board can show. ⚠️ AND A THIRD TIME, FROM THE HIDDEN SIDE AGAIN (DEF-0007, VERIFIED 2026-09-05, fix 23ba9aa). The Settings tab was hidden from every plant admin while `set_node_setting` was taking their writes on their own plant. Same shape as DEF-0005 and the same reason it stayed: the client's rule was a BOOLEAN CONSTANT written when the server's rule was one too, and the server's became per-node two migrations later. A flag on a menu row cannot track a predicate that takes an argument. The lesson this row now carries three times over: where the server's gate names a NODE, the client's answer belongs where the node is known, not on the rail. ⭐ The tester re-verified it on the screen and at the server: Dana is offered Settings and not Activity, all three of the panel's scopes behave as its header says, and a legal value written over her own session was READ BACK OUT OF THE DATABASE rather than trusted because nothing threw. Both halves of the axis were mutated on a scratch copy and both go red with a name, so the replacement for the case that used to pin the bug is not itself a case that cannot fail. ⛔ A FOURTH TIME, FROM THE HIDDEN SIDE, ONE LEVEL DEEPER (DEF-0010, open). DEF-0007 was a PLANT admin refused the Settings tab. The tab is reachable now and the scope it can be pointed at is still a PLANT ROOT --- so somebody whose ADMIN grant sits on a LINE or a CELL gets the whole rail, lands on ""Company defaults"" with both controls disabled and ""Only a system admin can change this"", and reaches none of the panel's three states. Measured over that person's own session with the rows read back: `set_node_setting` takes their write on their own line AND on a cell below it, and refuses the plant root above them; `board_window` emits `node_policies` PER NODE, so a line-level answer is the one the board enforces there. The client predicate is not the bug --- `canAdministerPlant` mirrors the server exactly --- the bug is that `SettingsScope` has no way to name a place below a root, and `settingsScope` sends a reader who cannot write the company to the company anyway. ⚠️ AND THIS ROW'S OWN EVIDENCE HAS A HOLE IN IT (DEF-0009): the third `verified_by` entry above names `src/test/defects/DEF-0007.test.tsx`, which `cab45d9` deleted when it promoted that pin. The cases live on in `src/test/auditAccess.test.tsx`; the pointer was not moved with them.","Solid, and this is literally the codebase's own ""client shows what the server refuses"" principle, well tested and named by defect id.",
R-240,"0023 changes who may edit, not who may read",superseded,agent,§19.60,"Every `_select` policy on the shared lists stays org-wide; only write policies become owner-scoped, because `check_eligibility` reads skills as the caller and a read narrowing would become a silent write refusal.",yes,sql | supabase/tests/51_shared_list_owners_test.sql | cases Q11 (old form),Reversed by D107 (§19.68): ownership decides reading too. Q11 was rewritten to assert the new contract.,Correctly superseded by R-D107.,
R-241,Dependent rows inherit their parent's ownership for writes,covered,agent,§19.60,`shifts` and `shift_breaks` are writable by whoever may edit their shift template; an `operator_skills` row is writable by whoever may edit the operator. A site admin can edit their own site's rows and nothing owned elsewhere; a refused UPDATE/DELETE under RLS is zero rows and no exception.,yes,"sql | supabase/tests/51_shared_list_owners_test.sql | cases Q6, Q9, Q21, Q32, Q34, Q37",,Solid.,
R-242,An owning node must be a root (0023),superseded,agent,§19.60,"The owner trigger refuses a `site_node_id` that is not a root node, with `42501`-shaped refusal for another site's root rather than ""not found"".",yes,"sql | supabase/tests/51_shared_list_owners_test.sql | cases Q12 (old form), Q13",0025 (§19.66) removed the root-only branch; ownership may name any node. Q12 was rewritten to pin the widening.,Correctly superseded by R-D103.,
R-243,The palette picker is not callable by ordinary users,covered,agent,§19.60,"`app_pick_product_color` is revoked from PUBLIC and granted to nobody; only the insert trigger (SECURITY DEFINER) reaches it, so no viewer can probe another tenant's palette usage.",yes,sql | supabase/tests/51_shared_list_owners_test.sql | cases Q35,,"Solid, good security-relevant proof (function locked down from all callers).",
R-244,Promote and demote refuse with the twelve-code contract,covered,agent,§19.61,"A promote or demote whose destination already holds that name raises `path_collision` with `{path, existing_node_id}`; one that would strand scheduled work raises the stranded payload as `{blocking_rows, level_id, reason}` so the client decodes it instead of ""Something went wrong"".",yes,"sql | supabase/tests/76_relevel_contract_test.sql | cases N1–N17 (N5, N12, N15, N16, N17 pin the inert guards)",,Solid.,
R-245,The re-level menu speaks the org's level names and hides nothing,covered,agent,§19.61,"The menu entry reads ""Make this a <level name>"" from the org's own vocabulary, falling back to ""Move up a level"" when the rung cannot be resolved. A blocked entry is shown and explained, never hidden; every client mirror fails open and the server's refusal is what says no. The menu never predicts scheduled work.",yes,vitest | src/test/relevel.test.ts | cases K1–K36 ;; vitest | src/test/errors.test.ts | cases two cases for `schedulable_level_locked` wording,,Solid.,
R-246,An admin section cannot be enabled without its panel,covered,agent,§19.62,"Each admin section's `enabled` flag is exported by its own panel, and every id in `SECTIONS` has a matching pane branch in `AdminPage`, so a rail button can never open onto nothing.",yes,vitest | src/test/scaleAudit.test.ts | cases H1–H6 (H2 pins the id list),,"Solid, a nice structural-integrity check (a rail button can never open onto nothing).",
R-247,A refused table write is reported as what it is,covered,agent,§19.63,"Plain table writes classify their failures: an RLS refusal is `WriteRefused` (""you don't have permission""), never ""you need to sign in""; a unique violation is `DuplicateValue`; a foreign-key block is `StillInUse`; a check failure is `InvalidValue`; the shift exclusion constraint is `ShiftOverlap` while other exclusion constraints fall back to `RaceLost`. Every table write ends in `.select()` and `requireWritten` turns a zero-row UPDATE/DELETE into `WriteRefused` instead of ""Saved"".",yes,sql | supabase/tests/30_shifts_test.sql | cases both constraint names exist in pg_constraint,"Text names 18 client cases (""group W plus two rewritten"", W5 for the constraint-name extractor) but not the file they live in; the only named file covers the constraint names, not the behaviour, so left uncovered.","Weak: the verified_by only proves the constraints exist in pg_constraint, not that the error-classification logic (RLS→WriteRefused, unique→DuplicateValue, etc.) actually fires — add a vitest test on the classifier itself.",
R-248,"Shift and break times: midnight, 24 hours and zero length",covered,agent,§19.64,"A shift or break may end exactly at minute 1440 (midnight) and counts as crossing midnight; a break may start after midnight (day marker on both ends, so `{1440,1455}` and `{0,1455}` render differently); a 24-hour shift is legal; a zero-length shift is refused; the overlap banner counts pairs.",yes,"vitest | src/test/shiftDraft.test.ts | cases V1, V2, V3, V5, V6",,"Solid, exactly the kind of boundary-heavy claim that benefits from explicit case-by-case tests.",
R-249,An edit is blocked only by the problems it introduces,covered,agent,§19.64 §19.65,"Saving a shift or break is refused only for problems the change itself caused; pre-existing problems are identified by `(field, shiftIndex, breakIndex)` coordinates, not by message text, so editing a shift's times does not trap on a stray break and a shift with a naming problem cannot be given an illegal time.",yes,"vitest | src/test/shiftDraft.test.ts | cases W1–W6 (W3, W6)",,"Solid, coordinate-based (not message-text) problem identification is a good design choice, well tested.",
R-250,Breaks are a table and can be edited in place,uncovered,maintainer,§19.65,"A pattern's breaks are shown in fixed-width columns (name, span, duration) with a header per shift, and an existing break can be edited without deleting and retyping it.",no,,,"add-test (vitest): an in-place-edit UX claim, moderate priority.",
R-251,A pattern row visibly says that it opens,uncovered,maintainer,§19.65,"The shift-pattern row that expands to its shifts carries an affordance — a turning caret, an underline on hover and focus, and a ""show shifts"" hint — so a new user knows it can be opened.",no,,,Low priority: a pure affordance/cosmetic claim; accept-risk is reasonable unless accessibility is a specific concern.,
R-252,A product's colour can be set by the user,uncovered,maintainer,§19.65 §19.66,"The automatic pick at creation stays and nothing re-picks on rename or re-assignment, but the swatch is a button that opens the palette (and, since 0025, accepts a hex). `setProductColor` is its own write so a colour change cannot fail on a duplicate SKU. The hint no longer says the colour ""never changes"".",no,,,"Likely tested somewhere already given the claim says this shipped (""since 0025"") — check productsPanel.test.tsx / the 0023 upgrade suite for overlap before writing something new.",
R-253,Reads page to exhaustion; no answer built on a short read,uncovered,agent,§19.64 §19.66,"PostgREST caps unbounded reads at 1000 rows silently. Every read is paged to exhaustion, and where a screen computes rather than lists, it refuses to show an answer built on a read known to be short.",no,,Decided in §19.66 §4 after the maintainer asked for a plain-language card; not recorded as built in the sections read.,"add-test (sql/vitest), and treat as real priority: a silent data-truncation past 1000 rows is a ""quiet data loss"" bug class, not something to accept-risk.",
R-254,"An operator's scope filters the roster only (D103, operators)",superseded,maintainer,§19.65 D103,"An operator's owning node decides who you see and who you administer, never who may be assigned where; where a person may work is answered by trainings and requirements alone.",no,,Explicitly marked superseded in §19.65: 0028/D109 made ownership refuse an assignment outside the operator's branch and D113 gave that refusal a recorded-reason override.,Correctly superseded by R-D109.,
R-255,History keeps rendering a product it would no longer offer,covered,agent,§19.65 §19.66 §19.68,"Narrowing what is OFFERED never changes what the board can DRAW. `board_window` reports each scope and filters nothing; a run already carrying a product that moved out of scope keeps rendering it, as the retired-product list already does.",yes,sql | supabase/tests/52_scope_and_colour_test.sql | cases S18,After 0026 S18 asks as the company admin and only catches a filter inside `board_window`.,"Solid, single case but directly on point.",
R-256,A product colour is a palette token or one canonical hex,covered,agent,§19.66,"`color_token` is `product-N` or `#rrggbb` (lower case, six digits, anchored); `#FFF`, `#FFFFFF`, `white` and `teal #1baf7a` are refused. The client is lenient about what is typed (`#1BAF7A`, `1baf7a`, `#1ba`, padding) and strict about what it stores; a hex is a fill, never a text colour. One resolver, `src/lib/productColor.ts`, turns a stored colour into CSS.",yes,"sql | supabase/tests/52_scope_and_colour_test.sql | cases S8, S14 ;; sql | supabase/tests/51_shared_list_owners_test.sql | cases Q27 (four spellings)",,"Solid, the strict-store/lenient-parse asymmetry is well tested with specific spelling variants.",
R-257,The client's edit preview fails open; company-wide stays company-admin,uncovered,agent,§19.66,"`canEditProduct` answers yes when it cannot tell, because a wrong ""no"" is invisible while a wrong ""yes"" is one clear refusal sentence. Only a company-wide row is refused client-side, because that answer comes from the profile role with no lookup.",no,,"Exercised by the 11 client mutations in §19.66 §7 without a named file; D108 later deleted the company-wide refusal (W12c), widening the fail-open — recorded in §19.72a.",add-test (vitest): the fail-open design is deliberate and easy for a future refactor to accidentally flip — worth pinning directly.,
R-258,Row controls carry accessible names unique to their row,covered,agent,§19.67,"A row's editable fields are named for their row (""Product code for WX"", ""Where WX belongs"") so two rows or a row and the Add card never present two controls with the same accessible name; the Add card keeps plain names because its labels are visible text.",yes,"vitest | src/test/productsPanel.test.tsx | cases T8 ;; vitest | src/test/trainingsPanel.test.tsx | cases N1-N4 (N1 the two-plant collision, N2 a sweep for any name something else carries -- at rest and with a row open, N3 the Add card keeps plain names, N4 an unambiguous leaf is left short)",,"Solid, thorough audit-style test across two panels.",
R-259,No member of one plant sees another plant's information,covered,maintainer,§19.68 §19.72,"A person sees only their own site's data — products, operators, shifts, anything — unless they are a system admin. The board already obeys this; the lists it is made of must too.",yes,sql | supabase/tests/53_read_scoping_test.sql | cases R1–R17 ;; sql | supabase/tests/55_ownership_scope_test.sql | cases N1–N18,,"Solid — this is literally the CLAUDE.md-titled requirement (""no member from one plant sees another's info""), well proven.",
R-260,Eligibility does not depend on what the caller may list,covered,agent,§19.68 §19.69 §19.72,"`check_eligibility` is SECURITY DEFINER with one explicit gate, `app_can_read_node(p_node_id)`, so a supervisor's eligibility verdict includes requirements placed above their grant and a training the caller cannot list still counts as held. It refuses exactly when reading the run would have refused.",yes,"sql | supabase/tests/53_read_scoping_test.sql | cases R12, R13, R14",,"Solid, and specifically documents a SECURITY DEFINER used correctly, tied to the codebase's documented definer/invoker lesson.",
R-261,A row on a visible schedule stays readable (0026),superseded,agent,§19.69 §19.71,A foreign-owned product or operator already on a run or assignment the reader can see remains readable so the board can name its own history.,yes,"sql | supabase/tests/53_read_scoping_test.sql | cases R9, R10, R11",§19.71 recorded the clause leaking into the catalogue; 0028 removed the precondition and deleted both `_on_visible_schedule` functions (55_ N13).,Correctly superseded by R-D109.,
R-262,The board opens on the top of what you can see,uncovered,agent,§19.70,"`visible_board_roots()` returns the nodes the caller can see whose parent they cannot — the real roots for a company or site admin, the department for a supervisor — never a node they could not SELECT. It runs as the caller and still scopes to one org for a session that bypasses RLS. Inactive tops are ordered last, not excluded.",no,,"§19.70 names ten SQL cases (V2–V9; V4 joins output back through `nodes`, V9 runs under BYPASSRLS) but not the file they live in.","add-test (sql): meaningful entry-point behavior (which root the board defaults to per role) — high visibility if wrong, worth a direct test.",
R-263,The board header names the place; picker only with a choice,uncovered,agent,§19.70,"The board reads ""Board · <place> · <dates>""; a picker appears only when more than one root is offered. A remembered choice the server no longer offers is dropped, matching is exact (not ltree-prefix), and a person with no grant on any node sees a sentence about themselves rather than an error.",no,,"Seven `rootSelection.ts` cases (W5, W6) and SQL V8 are named; their files are not.",add-test (vitest): the picker-appears-only-with-choice and stale-remembered-choice-dropped logic is easy to regress silently.,
R-264,The product catalogue lists only what this site administers,covered,maintainer,§19.71,"`productRows` drops a product whose owner is a site the viewer cannot see and counts it (""1 product scheduled here belongs to another site, so it isn't listed"") without naming it. When the structure read failed (`sites === null`) nothing is filtered rather than emptying the list.",yes,vitest | src/test/products.test.ts | cases L24–L29,,"Solid, and the ""count without naming"" privacy-shaped UX detail is a nice specific pin.",
R-265,An owner cannot be moved out from under its own history,superseded,agent,§19.72,"Re-homing a row that already has runs or assignments outside the new owner's subtree is refused with `owner_change_blocked` naming the count, so the write-time guards cannot be bypassed later.",no,,For products D115 moved this guard from re-home to un-assigning a plant (§19.81). No case named for the 0028 form.,Correctly superseded by R-274.,
R-266,Requirement and pattern attachments are readable only where the node is,uncovered,agent,§19.72,"`node_skill_requirements` and `node_shift_templates` are readable only for nodes the reader can read, so a Plant 2 supervisor cannot list which trainings Plant 1's cells require or which pattern each runs.",no,,Fixed in 0028 §7; no case named.,"add-test (sql): a real security-boundary gap in the same family R-259/R-260 already prove for other tables — this is the missing piece, worth prioritizing.",
R-267,A person may only hold a training on their own branch,covered,agent,§19.72 §19.85,An `operator_skills` row is allowed only when the training's owner and the person's owner are comparable (either is an ancestor-or-self of the other): a plant-wide person may hold a Line 1 training; a Plant 2 person may not hold a Plant 1 training.,yes,sql | supabase/tests/55_ownership_scope_test.sql | cases N7 (both directions; mutation M7),,"Solid, mutation testing cited again is a good signal.",
R-268,Products and people are snapshotted onto history; configuration cascades,covered,agent,§19.74,"When a product or person is deleted, their identity (sku, name, colour; display name) is copied at delete time onto surviving runs and assignments and the reference is released to NULL. Trainings and shift patterns are present-tense configuration: their join rows go by cascade, and a line admin can delete their training even where they are not admin for a plant-wide holder.",yes,"sql | supabase/tests/56_ (full name not given in §19.74) | cases D22, D23, D25",,"Solid, and the present-tense-vs-snapshot distinction is exactly the subtlety worth having a named test for.",
R-269,"A refused delete says why, before anything is attempted",covered,agent,§19.74,"`delete_owned_row` checks permission up front and refuses with a message that says the caller may not administer this site, distinct from the row-count guard's ""could not be deleted"". RLS stays on underneath as the second gate and every destructive statement compares `ROW_COUNT`.",yes,sql | supabase/tests/56_ (full name not given in §19.74) | cases D27 (asserts the message),,"Solid, permission-before-attempt ordering is a good security pattern, well tested.",
R-270,The delete dialog knows what it destroys before it asks,covered,agent,§19.74,"`DeleteDialog` asks `deletion_preview` first and keeps both destructive buttons disabled until it answers. ""Deactivate instead"" is the primary action only when something not yet started would go (three stakes: nothing, history-only, destructive); the confirm button names what it removes; an unknown preview key is rendered, never dropped.",yes,"vitest | src/test/deletion.test.ts | cases K5, K8 (21 cases)",,"Solid, thorough (21 cases).",
R-271,Trainings and shift patterns can be deactivated,uncovered,agent,§19.74,"`skills.active` and `shift_templates.active` exist so all four owned lists mean the same thing, and a screen lets an admin deactivate a training or pattern instead of deleting it.",no,,"Marked OWED in §19.74: the columns exist, no screen reads or writes them, and `DeleteDialog` offers no ""Deactivate instead"" for those two kinds.","add-test (sql): fairly mechanical (an active flag), moderate priority, cheap to add alongside existing evidence.",
R-272,The board offers products by scope and annotates people outside theirs,covered,agent,§19.76,"The create popover offers only products that belong at the cell and are active, with the chosen product derived each render and Create disabled on an empty list. A person outside their area is left in the list, annotated ""— not from this area (override)"" with a checkbox and required reason mirroring the training override.",yes,"vitest | src/test/scope.test.ts | cases XP4 (inverted for DEF-0002) a place not in the board's map is not offered, XP6 a part made only at another plant is absent from the dropdown, XP7 parts made at this plant are still offered — the fix cuts and does not empty, XP8 a part at this plant but on another line is still absent, XP9 a board rooted below a plant still offers its own parts ;; vitest | src/test/dragGesture.test.ts | cases DEF-0002's second door: changing the selected place closes the popover it was opened over, so a stale cell cannot fall back to the whole catalogue","⚠️ FIX CLAIMED, NOT VERIFIED (DEF-0002, fix 30aff5f). ""Offers only products that belong at the cell"" was false for every part of every other plant: the offering predicate failed OPEN on a place it could not resolve, and the board's map is one plant's subtree, so a part made elsewhere was unresolvable and therefore offered — twelve entries in Plant A's picker, eight of them guaranteed refusals. The other half of this row — Create disabled on an empty list, and the ""not from this area (override)"" annotation — still has no committed case; the cases named here cover the offering rule only. Status stays `contradicted` until the tester re-runs its own reproduction.","Solid, and DEF-0002's ""second door"" case (stale popover closing on place change) shows real defect-driven rigor.",
R-273,The board still loads after a deletion with history,uncovered,agent,§19.76,`Run.productId` and `assignment.operatorId` are nullable in the client shapes and carry the snapshot fields; `history.ts` resolves the live row while it exists and synthesises a view from the snapshot afterwards. A synthesised row has an empty id and owner so `offeredAt` can never be asked about it.,no,,Case H19 and 24 in-place probe assertions are named; the test file is not.,"add-test (vitest), and treat as a real priority: a null Run.productId path is easy to crash on, exactly the kind of ""green case pinning a bug"" risk untested code invites.",
R-274,A plant cannot leave a part still scheduled under it,uncovered,agent,§19.81,Deleting a `product_sites` row is refused with `owner_change_blocked` naming the count when that plant is the last remaining maker covering a live run or assignment; adding a plant is unguarded.,no,,,"add-test (sql), and flag as one of the more concerning gaps: this supersedes R-265 and inherits its whole responsibility with currently zero test evidence.",
R-275,Where a person can work has three states; unknown never inside,covered,maintainer,§19.77,"For each schedulable place the screen answers ✓ (in their area and holds the trainings), ✕ (in their area, missing a training) or ⚠ (outside their area — allowed only with a recorded reason). `qualified` (trainings alone) is kept separate from `eligible`; the area walk is reflexive and by `parentId`; an unresolvable area is never read as inside and is counted with outside.",yes,"vitest | src/test/operators.test.ts | cases A1–A15, Q1–Q5, S3–S5",File name inferred from the case groups the text names; the text itself does not name the file.,"Solid, and the ""unknown never inside"" fail-closed default is exactly right.",
R-276,Other plants stay listed but annotated (first §19.77 draft),superseded,agent,§19.77,The fix is not to hide other plants: every schedulable cell in the company stays listed and the ones outside the person's area are marked ⚠.,no,,Reversed the same day after the maintainer said those locations should not be visible at all; the board analogy was judged wrong for an informational list.,"Correctly superseded by R-277, a good example of a design draft properly retired.",
R-277,The places list stops at the person's own plant,covered,maintainer,§19.77,"The list is cut at the root the person's own area sits under — not at their area, so lending within a plant (the ⚠ state) stays visible while other sites do not. What is trimmed is counted in a footnote named by the root's own name. A place whose root cannot be resolved is kept and a person whose root cannot be resolved filters nothing. The trim is presentation, applied by the panel, not inside `workPlacesFor`.",yes,"vitest | src/test/operators.test.ts | cases R1–R10 (R4 keeps workPlacesFor complete; R7, R8 fail open)",Composition in `OperatorsPanel` (trim then active filter) is pinned by nothing; no test mounts that panel as of §19.77.,Solid.,
R-279,The count line names what it counts,covered,agent,§19.77,"The headline reads ""<n> of <own> places in their own area · <m> elsewhere, only with a recorded reason""; `ownArea + outsideArea === total`, always.",yes,vitest | src/test/operators.test.ts | cases S3–S5,,"Solid, the arithmetic-invariant check (ownArea+outsideArea===total) is a nice cheap assertion.",
R-280,One plant filter for every admin section,covered,maintainer,§19.79,"A single plant filter on `AdminPage` narrows Hierarchy, Access, Shifts, Operators, Products (and the Matrix). The state lives once, panels read it through `usePlantFilter` and take no prop for it, and the chosen plant is spelled out in the header of every tab.",yes,vitest | src/test/plantFilter.test.ts | cases 28 cases,,Solid.,
R-281,"The filter defaults to the reader's last choice, remembered per org",covered,maintainer,§19.79,"The default is the last plant chosen, remembered across visits and keyed by org; a stored choice the reader can no longer read is dropped, and ""All plants"" is never stored as a sentinel. With only one readable root there is no control and no header row — decided by the count of readable plants, never by the role.",yes,"vitest | src/test/plantFilter.test.ts | cases 28 cases (unreadable stored choice, one-plant control, sentinel, org key)",,"Solid, good edge cases (unreadable stored choice, sentinel).",
R-282,The filter narrows forms too; view choice is not permission,covered,maintainer,§19.79,"What you see is what you can create in: every owner picker is narrowed by the filter so a row cannot be created into a plant that is filtered away. The filter (reversible view choice) and `scopeOptions`' `canEdit` (permission) are two narrowings and neither is implemented in terms of the other. The ancestry test compares `path` with `isAtOrBelow`, label by label.",yes,vitest | src/test/plantFilter.test.ts | cases 28 cases (`startsWith` mutation caught),"Still owed: all three callers pass no `canEdit` set, so a picker can offer a node the server refuses.","Solid, and it explicitly separates two kinds of narrowing (view vs. permission), a good conceptual distinction to keep tested.",
R-283,"The Hierarchy tab filters rows, never the tree's knowledge",covered,agent,§19.79,The tree and level editors always receive the complete node list so no move the server accepts is refused client-side; `visibleNodeIds` filters only the rendered rows (a plant is a whole subtree). The structure picker is narrowed too and the selection re-resolves against what it offers; a structure owned by nobody is kept at every plant because it is what a new root copies from; the add-root form stays working and annotated rather than disabled.,yes,vitest | src/test/plantFilter.test.ts | cases 28 cases (every topmost node treated as a root),,Solid.,
R-284,Everything the filter trims is counted,uncovered,agent,§19.79,"Every trimmed list — people, trainings, products, patterns, places, tree rows — carries a footnote with the count, naming the filter's own label rather than the word ""plant"", because the hierarchy is user-defined.",no,,,add-test (vitest): could reuse R-279's counting-invariant pattern; moderate priority.,
R-285,Access keeps its own selection within the filtered list,uncovered,agent,§19.79,The shared filter narrows the list of places the Access tab chooses from; the panel still owns which one it shows and drops a selection the list no longer contains.,no,,,add-test (vitest): similar shape to R-281's dropped-stale-choice logic; moderate priority.,
R-286,A select never shows a value absent from its options,covered,agent,§19.79,"An edit form shows the row's stored owner even when the filter hides it, and saves what it shows; a draft never holds an id with no option behind it; a cold load never submits an empty `site_node_id`.",yes,vitest | src/test/productsPanel.test.tsx | cases T13 (9 cases),The `ShiftsPanel` and `OperatorsPanel` halves are pinned only at library level; nothing mounts those panels.,Solid.,
R-287,The training-name warning has three answers; warnings never block,uncovered,agent,§19.80,"Typing a training name: a match under this owner disables Create and offers the existing row; a match elsewhere in this plant names the other place (""Line B already has a First Aid"") and leaves Create live; a match in another plant says nothing. Without a node map there is no plant pass.",no,,Cases N12–N18 and O23 are named; their files are not.,"add-test (vitest): duplicate-name detection across scopes is meaningful data-integrity logic, moderate priority.",
R-288,"Split: the part record is company property, makers per plant",uncovered,maintainer,§19.81,"Creating, renaming, recolouring or deleting a part is company-admin only. A plant admin may add or remove their OWN plant from a part's makers; a company admin manages the whole list. A part with zero plants is a legitimate state — the board simply does not offer it. The create form asks for sku and name and no owner.",no,,,Likely overlaps with R-308/R-D115 (products belong to a list of plants) — check for duplication before writing a new test; candidate to reword/merge rather than test fresh.,
R-289,Automatic colour balances across the whole org and never re-picks,uncovered,agent,§19.81,`app_pick_product_color(p_org_id)` chooses the least-used token across all the org's products; colour is set once at insert and only a deliberate hand-override changes it.,no,,,"Likely the same claim as R-D102's later amendment (""D115 balances the automatic pick across the whole org"") — recommend merging/linking rather than treating as a separate untested requirement.",
R-290,The CSV parser is RFC 4180 and entity-agnostic,uncovered,agent,§19.82,"Quoted fields may contain commas, newlines and doubled quotes; LF, CRLF and bare CR are record breaks; a leading BOM is stripped so the first header maps. It produces a grid and knows nothing about products.",no,,,"add-test (vitest): a pure parsing function, cheap and high-value to test with the classic CSV edge cases (quoted commas, CRLF, BOM).",
R-291,"Product import matches on external_id, then sku",uncovered,agent,§19.82,"A row is judged in order: an `external_id` matching an existing part UPDATES sku and name unless the new sku already belongs to a different part; an unmatched `external_id` INSERTS; with no `external_id`, a matching sku UPDATES that part and a new sku INSERTS; two file rows sharing an external_id or a sku are both errors; an optional `plant` column assigns a `product_sites` row after the write, an unresolvable plant name is an error and a blank one is fine.",no,,"""Verified on the running database"" — a manual check, no case named.",add-test (vitest): multi-branch matching precedence (external_id then sku) is easy to get subtly wrong — worth a direct test.,
R-292,"Import previews a plan, applies per row, company-admin only",uncovered,agent,§19.82,"The wizard previews INSERT / UPDATE / ERROR per row before applying, validates with the same `validateProductDraft` the manual form uses, applies one row at a time so each outcome is reported, sets `external_id` and a non-manual `source` on inserts, and shows a site admin the preview but not the Apply button.",no,,,add-test (vitest/e2e): a whole wizard feature with zero test evidence — worth at least a happy-path plus one error-row case.,
R-293,A new plant can copy an existing plant's structure,uncovered,maintainer,§19.83,"`copy_plant_structure(source_root, new_name)` creates a new plant as a copy of an existing plant's node tree — structure only, empty of parts and people — in one atomic call that loops over `create_node` (so the template is copied and every step is permission-checked as the caller). Company-admin only. The add-root form offers ""Empty (from a shape)"" or ""Copy an existing plant""; the library is just an existing plant, edited with the ordinary tree editor.",no,,Verified on the running database (13 nodes copied); no suite case named. Tree CSV import was dropped in its favour (§19.85).,add-test (sql): a whole-tree-copy operation with permission checks per step — moderate-to-high priority.,
R-294,People import matches on external_id; inserts need a site,uncovered,agent,§19.84,One generic `ImportWizard` driven by a per-entity descriptor serves every import. Operators match on `external_id` only (a row without one can only INSERT); an insert must resolve a plant by name and a blank plant is a per-row error; an UPDATE leaves the site alone. Imported rows carry `external_id` and the file name as `source`.,no,,Verified in the browser only.,"add-test (vitest): same shape as R-291, worth a direct test.",
R-295,Trainings import bulk-adds training types per plant,uncovered,maintainer,§19.85,"A trainings CSV matches on (name, owner): the plant is resolved by name, a new pair inserts, an existing pair is a no-op update, and a blank or unresolvable plant is a per-row error.",no,,,add-test (vitest): same shape as R-291/R-294.,
